id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
356,Canaman,818.5483398,578.4933398,58.34001953,8.395019531,1463.776719,150.1936815,4.774725952,3.581044464,0,158.5494519,0,0,0,0,0,968.7420213,583.2680658,61.921064,8.395019531,1622.326171
357,Caramoan,27.72227004,0.209030055,1.035066959,124.4055552,153.3719222,83.44532699,7.26980135,6.274474359,0,96.9896027,0,0,0,0,0,111.167597,7.478831405,7.309541317,124.4055552,250.3615249
358,Del Gallego,185.5579487,249.7747043,110.381014,54.0431767,599.7568436,0.832881519,1.006526075,0,0,1.839407594,0,0,0,0.147734537,0.147734537,186.3908302,250.7812303,110.381014,54.19091124,601.7439857
359,Gainza,397.4432196,355.0592599,105.3602901,302.2687883,1160.131558,113.0296485,32.93662848,13.90698,0,159.873257,0,0,0,0,0,510.4728681,387.9958884,119.2672701,302.2687883,1320.004815
360,Garchitorena,7.401879883,12.61003418,0,0,20.01191406,18.58254395,32.15593262,0,0,50.73847656,30.5,0,0,9.77,40.27,56.48442383,44.7659668,0,9.77,111.0203906
361,Goa,238.8568006,291.7409256,72.3969936,122.4540391,725.448759,0.645841602,5.497403467,13.26300239,11.82288105,31.22912852,0,0,0,0,0,239.5026422,297.2383291,85.65999599,134.2769202,756.6778875
362,Iriga City,969.6188662,876.2877903,151.4889241,0,1997.395581,62.83213396,39.69843731,1.866303356,0,104.3968746,12,0,0,0,12,1044.451,915.9862276,153.3552275,0,2113.792455
363,Lagonoy,31.41258976,31.41258976,0,0,62.82517951,0,0,0,0,0,0,0,0,0,0,31.41258976,31.41258976,0,0,62.82517951
364,Libmanan,698.833291,1029.588015,781.6665984,1017.674606,3527.76251,0.083007813,0.33203125,0.249023438,0,0.6640625,0,0,0,0,0,698.9162988,1029.920046,781.9156218,1017.674606,3528.426573
365,Lupi,1.106445313,8.970040562,31.93049124,216.5039759,258.510953,0.162399292,1.483617619,3.638856397,4.63527614,9.920149447,0,0,0,1.208048,1.208048,1.268844604,10.45365818,35.56934763,222.3473,269.6391505
366,Magarao,57.7781881,89.39748228,96.45057929,216.2021697,459.8284194,12.9214229,19.27836779,13.22798887,13.74208796,59.16986753,0,0,0,0,0,70.699611,108.6758501,109.6785682,229.9442576,518.9982869
367,Milaor,254.2073071,329.6615186,278.797373,682.3825122,1545.048711,0,0,0,0,0,0,0,0,0,0,254.2073071,329.6615186,278.797373,682.3825122,1545.048711
368,Minalabac,3164.826652,3029.345348,1167.833048,293.7841119,7655.78916,73.70341797,75.93427734,46.18574219,53.90976563,249.7332031,0,0,0,10.43545016,10.43545016,3238.53007,3105.279625,1214.01879,358.1293277,7915.957813
369,Nabua,833.3489461,168.1368383,0,0,1001.485784,14.70639717,3.811956277,3.355559109,,21.87391255,0,0,0,0.016524475,0.016524475,848.0553433,171.9487946,3.355559109,0.016524475,1023.376221
370,Naga City,364.8710938,0,0,0,364.8710938,0,0,0,0,0,0,0,0,0,0,364.8710938,0,0,0,364.8710938
371,Ocampo,1403.438555,1904.624219,490.5613281,79.37566406,3877.999766,133.6281738,61.26269531,30.40452148,12.77,238.0653906,0,0,0,0,0,1537.066729,1965.886914,520.9658496,92.14566406,4116.065156
372,Pamplona,1020.048721,1304.205378,250.8507365,0,2575.104836,105.7614563,0,0,0,105.7614563,0,0,0,0,0,1125.810177,1304.205378,250.8507365,0,2680.866292
373,Pasacao,17.35453739,6.304537389,0,0,23.65907478,12.61729246,12.56291985,0,0,25.18021231,8.25,0,0,0,8.25,38.22182985,18.86745724,0,0,57.08928709
374,Pili,1237.172949,1972.110317,1089.767349,577.9374707,4876.988086,1.503790822,12.03723576,28.59275317,36.11861646,78.25239621,0,0,0,0,0,1238.67674,1984.147553,1118.360102,614.0560872,4955.240482
375,Presentacion,0.000514361,0.008366844,0.063902038,14.74826471,14.82104795,0,0,0,0,0,0,0,0,0,0,0.000514361,0.008366844,0.063902038,14.74826471,14.82104795
376,Ragay,178.8144421,238.9342774,60.11983533,0,477.8685548,1.007480698,8.956174228,21.83111919,13.88242566,45.67719978,0,0,0,0,0,179.8219228,247.8904516,81.95095452,13.88242566,523.5457546
377,Sagnay,310.0208862,130.6717235,50.5358373,8.785,500.0134471,0.030761719,0.123046875,0.215332031,0.24609375,0.615234375,0,0,0,0,0,310.0516479,130.7947704,50.75116933,9.03109375,500.6286814
378,San Fernando,569.5804398,735.760509,178.0613885,0,1483.402337,11.74834473,11.70837891,0,0,23.45672363,0,0,0,0,0,581.3287845,747.4688879,178.0613885,0,1506.859061
379,San Jose,984.0974446,157.3439042,54.60160258,63.13562823,1259.17858,0.049937157,0.349560098,0.798994509,0.998743136,2.1972349,0,0,0,0,0,984.1473817,157.6934643,55.40059709,64.13437137,1261.375814
380,Sipocot,143.3724413,173.5574413,32.80232391,2.617323914,352.3495304,0.713892438,2.855569754,3.497247069,1.355569754,8.422279015,0,0,0,0,0,144.0863337,176.4130111,36.29957098,3.972893668,360.7718095
381,Siruma,2.291330039,16.04358803,13.75225799,0,32.08717605,0,0.004129707,0.01238912,0,0.016518827,0,0,0,0,0,2.291330039,16.04771773,13.76464711,0,32.10369488
382,Tigaon,515.5589394,208.9488105,61.23987112,0,785.7476211,3.931907978,0.602631911,0.398355844,0.455263821,5.388159553,4.8,0,0,0.909375,5.709375,524.2908474,209.5514425,61.63822697,1.364638821,796.8451556
383,Tinambac,1.203522831,8.429055527,7.225532696,0,16.85811105,1.789139375,12.52491403,10.73577465,0,25.04982806,0,0,0,0.823303223,0.823303223,2.992662206,20.95396956,17.96130735,0.823303223,42.73124233
406,Bagamonoc,69.04258262,3.504246344,2.756205333,32.87782527,108.1808596,4.43858825,1.104887909,1.871722476,2.410845634,9.82604427,0,0,0,0,0,73.48117087,4.609134254,4.627927809,35.2886709,118.0069038
407,Baras,116.5906841,24.71071797,3.443328568,10.58230112,155.3270317,7.02869362,7.298971275,0.753445724,0.966336138,16.04744676,0,0,0,0,0,123.6193777,32.00968925,4.196774291,11.54863725,171.3744785
